iter	Logloss
0	0.6216936276
1	0.5774345394
2	0.5495723273
3	0.5309137275
4	0.517851828
5	0.5036532583
6	0.4990199482
7	0.4897932486
8	0.4718304257
9	0.4624961987
10	0.458971246
11	0.4575384895
12	0.4454096096
13	0.4423350117
14	0.4389889628
15	0.4351734311
16	0.4280270433
17	0.422761965
18	0.4193544247
19	0.4193524853
20	0.4159004095
21	0.4124958495
22	0.4121246944
23	0.4098519858
24	0.4065275087
25	0.4060224503
26	0.4060161991
27	0.3994738872
28	0.39577791
29	0.3889370996
30	0.3869073251
31	0.3845495039
32	0.3842574224
33	0.3780131455
34	0.3767860447
35	0.3750426125
36	0.3713075641
37	0.37092852
38	0.3619744656
39	0.3540798444
40	0.3489552604
41	0.3411907241
42	0.3368440842
43	0.3340004639
44	0.3284683995
45	0.3234082918
46	0.3202087933
47	0.319997282
48	0.3165873287
49	0.3105133384
