iter	Passed	Remaining
0	1315	64476
1	1705	40935
2	2115	33144
3	2689	30924
4	3162	28458
5	3641	26700
6	3723	22870
7	4242	22273
8	4666	21259
9	5463	21854
10	5542	19650
11	5659	17923
12	6327	18008
13	6585	16933
14	7057	16467
15	7507	15953
16	7957	15447
17	8485	15084
18	9002	14688
19	9087	13631
20	9462	13067
21	9860	12550
22	9894	11615
23	9974	10806
24	10376	10376
25	10405	9605
26	10432	8887
27	10799	8485
28	11275	8164
29	11666	7777
30	12076	7401
31	12896	7254
32	13638	7025
33	14864	6995
34	15138	6488
35	15785	6138
36	16296	5725
37	16464	5199
38	16873	4759
39	17280	4320
40	17686	3882
41	18180	3462
42	18614	3030
43	19071	2600
44	19512	2168
45	19948	1734
46	20381	1300
47	21188	882
48	21709	443
49	22234	0
